nome,cpf_cnpj,cidade,estado,nascimento
Dra. Ana Julia Mendes,41320678904,Rodrigues,DF,1956-11-07
Vitor Gabriel Teixeira,94586702338,da Rosa,DF,1979-01-02
Diego Melo,15403689710,Mendes do Campo,MS,1991-05-20
Isis Moraes,10785943684,Fogaca dos Dourados,SP,1991-04-24
Vitoria Pereira,50316842753,Santos do Campo,PR,2000-07-28
Olivia da Cunha,94380725600,Barros Grande,AM,1972-04-08
Noah Gomes,18276054994,Souza,AC,1996-09-17
Noah Costela,84539702629,Ramos de Barbosa,MT,1967-03-12
Joao Felipe da Mota,21536489042,da Mota,MG,1971-12-23
Pedro Ramos,81967405220,da Mota,GO,1975-05-21
Raquel Lopes,19860273502,Ribeiro,RJ,1999-06-20
Srta. Ana Julia Cardoso,38217460507,Azevedo,BA,1969-01-09
Juan Alves,86075234900,Alves de Jesus,SE,1992-07-01
Luigi Caldeira,73968254074,Vieira,AM,1987-02-23
Giovanna Cunha,78095462365,Moura Grande,PE,1975-07-10
Sophie Cardoso,6938275483,Ramos de Moraes,AL,1995-12-05
Laura Cardoso,58704693256,Rezende,SE,1972-01-30
Breno Goncalves,62859347119,Freitas,DF,1994-01-14
Sabrina Martins,10792836413,Campos,AL,1970-03-06
Igor Monteiro,58913746255,Barros da Mata,SE,1989-07-04
Dra. Rebeca Goncalves,65108249730,Nunes,BA,1984-08-20
Dr. Felipe Goncalves,18260547902,Santos,AC,1955-02-28
Enzo Almeida,90278635121,Silveira,AP,1978-06-12
Sr. Luiz Gustavo Cavalcanti,74238956109,Ramos do Norte,RN,1996-12-30
Sr. Igor Sales,67190283595,da Conceicao da Mata,PA,1956-03-21
Bianca Teixeira,64092158785,Ribeiro de Minas,PB,1991-06-03
Otavio Nascimento,16758432017,Aragao da Prata,ES,1960-04-30
Ana Beatriz Barbosa,72951640811,Goncalves Verde,PR,2001-07-08
Emanuella Fogaca,36041798584,Goncalves das Pedras,DF,1968-01-08
Luiz Gustavo Costela,35214078960,Araujo,SP,1969-04-18
Gustavo Henrique Santos,79063452152,Araujo,RS,1969-08-10
Breno Carvalho,50716842335,Monteiro,BA,1962-06-30
Davi Souza,72950814379,Moreira,PR,1961-07-21
Lara Peixoto,74206918350,Lopes das Pedras,MT,1992-03-19
Enrico Porto,76280149501,Azevedo de da Luz,PI,1970-03-22
Agatha Ferreira,34528790114,Ramos de Ramos,ES,1964-04-15
Isadora da Cruz,47635018957,Carvalho Grande,MS,1969-11-01
Manuela Pereira,20479615306,Fogaca do Campo,BA,1986-03-14
Nicolas Cavalcanti,73602519406,Pereira das Flores,PE,1967-06-04
Joao Gabriel Porto,97856430184,Rodrigues,PR,1956-01-03
Ana Carolina Nunes,60381597466,Barbosa Grande,RJ,1977-03-14
Sra. Ana Carolina da Cruz,81403796203,Lopes das Flores,MS,1978-10-18
Larissa da Paz,5187926411,Ramos,CE,1977-11-12
Vinicius da Conceicao,64930752892,Campos,PI,1990-03-18
Clarice da Luz,63027198440,da Rocha,AP,1956-11-10
Enzo Sales,64023158771,Lima,BA,1976-04-13
Rebeca Novaes,27803491669,Souza de Melo,PE,2001-12-30
Agatha Costela,73216948013,Pereira,CE,1991-11-27
Esther Rezende,10963257480,Fernandes,AM,1986-06-05
Luiz Henrique Cunha,58602417390,Caldeira das Pedras,BA,1996-02-20
Pedro Miguel Fernandes,52647981337,Fogaca Verde,AP,1981-04-12
Benjamin Costela,8945376283,Araujo da Serra,AP,2006-04-22
Ryan Aragao,26493875056,Cavalcanti,AC,1956-12-27
Vitor Hugo Martins,53241097625,da Mata,DF,1961-11-30
Sr. Samuel Silveira,9723685400,Moura de Minas,PE,1986-10-26
Barbara Campos,45901672399,Aragao da Mata,PB,1964-08-16
Dra. Maysa Ramos,18245360970,Nascimento,AM,1995-10-18
Maria Rezende,64287390547,Almeida da Mata,RR,1982-10-01
Lorena Porto,10856273902,Campos,MG,2003-02-22
Sra. Maria Alice Souza,36219750470,Sales,AM,1967-11-09
Dra. Maria Luiza Moura,97815064310,Cardoso,PE,2004-04-23
Carlos Eduardo Rocha,26014539743,Lima,PI,1977-11-28
Beatriz Carvalho,32706549874,da Rosa do Norte,DF,1975-01-30
Maria Luiza Viana,90764258338,Souza,RN,1974-03-22
Thales Nascimento,50186749384,Porto do Sul,DF,1957-05-22
Mariane da Mata,1863542906,Goncalves de Pires,MS,1977-10-28
Yago Castro,29736410552,da Rocha Grande,RO,1985-09-18
Maria Clara Goncalves,7136495857,Santos,MG,1983-06-10
Erick Viana,31805249606,Rocha das Pedras,MS,1963-04-07
Raul Teixeira,21906457352,Almeida do Oeste,MG,1988-02-13
Nina Moreira,76854209374,Goncalves de Ramos,MA,1961-08-09
Bruna Jesus,13907524888,Ribeiro do Campo,PI,1955-04-26
Rafael Costela,91365472043,Carvalho do Norte,PI,1971-10-18
Lucca Pereira,21357069812,Nogueira,PA,1967-06-13
Ana Julia Cavalcanti,62419503805,Barbosa de Minas,PB,1991-01-23
Dr. Alexandre Oliveira,79356841209,Fogaca,MG,1988-05-16
